NV_PN,JEDEC_TYPE,DESCRIPTION,COSTS,MPN,MANUFACTURER,COMPLIANCE,LEAD_TIME,SOURCE_EXPANSION,PACK_TYPE,TEMP_RANGE
305-0095-000,SOT223,XSTR SWITCHING PNP SILICON EPITAXIAL -20V -1.0A SOT-223-4,0.04,BCP69T1G,ON SEMI,P8E0-A-1,70,CCM,SOT223_1B2C1E,[ ]..[ ]
115-2405-000,SOT23_5,IC SENSOR Current SOT23-5 INA139NA/3K High-Side Current Output,0.458,INA139NA/3K,TI,P8E10,70,CCM,SOT23-5,-55degC..125degC
041-0069-000,CAP_SMD_3528,CAP POLY 100uF 20% 2.5V 3.5X2.8X1.2mm,0.30,T520T107M2R5ATE070,Kemet,P8E0-A-2,112,CCM,SMD_3528,-55degC..105degC
195-2807-000,0402,RES AUTOMOTIVE 0402 80.6 ohm 1.0 % 62.5 mW,0.0035,RCA040280R6FKEA,Vishay,P8E10,140,AUTOMOTIVE,0402,-55degC..155degC
300-0137-000,MULTI_SMD_SOT669_LFPAK_B,XSTR N-CH MOSFET SGL 30V 35A 7.2mOHM MAX @ 4.5V LFPAK SOT669,0.30,RJK0304DPB-00-J0,Renesas,P6,97,CCM,LFPAK,-55degC..150degC
195-0184-000,0402,RES SCD 0402 2.37K 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,49,SCD,0402,-55degC..155degC
032-0080-000,MULTI_CAP_SMD_083X083_103X103_7343,CAP POL ALE COMBI_7343_D80_D100 470.0uF 20.0% -20.0% 25.0V,0.1378,EEEFK1E471AP,Panasonic IDSC,P8E8,98,CCM,COMBI_7343_D80_D100,-55degC..105degC
092-0095-000,DIODE_SMD_044X039,OPTO SMD SILICON PIN PHOTODIODE WITH DAYLIGHT FILTER 950nm 6.7X4.0X1.2mm MAX,0.156,BP 104 FS,OSRAM,P8E8,91,CCM,SMD,-40degC..100degC
032-0821-000,0805,CAP X7R 0805 2.2uF +/-10.0% 10.0V,0,LMK212 B7225KG-T,Taiyo Yuden,P8E0-A-2,999,CCM,0805,-55degC..125degC
195-3512-000,0402,RES AUTOMOTIVE 0402 3.92kohm 1% 62.5mW,0,TFA0402R3921F-T10,Thin Film,P8E1-7cI-A-2,999,AUTOMOTIVE,0402,-55degC..155degC
195-0887-000,0603,RES SCD 0603 30.9 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
115-2139-000,QFN108Q_P040_0120_T046X046,IC CONTROLLER AUTOMOTIVE Ethernet 88E6321 QFN108,2.99,88E6321-A0-NAZ2I000,Marvell,P8E10,112,AUTOMOTIVE,QFN108,-40.15degC..84.85degC
313-0036-000,MICROPHONE_08_SMD_030X040_C,AUDIO MIC -26decibel LGA8 64decibel MP34DT05,0,MP34DT05TR,STMicroelectronics,P8E0-B-1,112,CCM,LGA8,-40degC..85degC
195-0139-000,0402,RES SCD 0402 1.91K 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-0535-000,0402,RES SCD 0402 2K 5% 1/16W,0.00022,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
300-0950-000,DFET_SMD_033X033_E,N-CH MOSFET PACHINKO DFN3x3 22.0A 20.0V 2.1W BSZ0901NS,0.345,BSZ0901NS,Infineon,P8E1-7a-A-2,63,PACHINKO,DFN3X3,-55.15degC..150.05degC
130-0856-000,0201,IND 0201 [ ] 3.5nH +/-0.1nH 0.5A 0.2ohm 22 500.0MHz 8.0GHz -999.0decibel,0,HKQ0603W3N5B-T,Taiyo Yuden,P8E0-A-2,999,CCM,0201,-55.15degC..125.05degC
080-0292-000,CON_MISC_042_SMT_ST_F_P005,CONN SMD B2W MALE VERT 42 POS 0.5mm PITCH,1.13,FI-DP42SB-VF20L1-R1800,JAE,P7,71,CCM,DP,CON_MISC_042_SMT_ST_F_P005
090-0314-000,DIODE_SMD_SOD323,ZENER SOD323 MM3Z10VST1G 10.0V 300.0mW,0.0109,MM3Z10VST1G,ON SEMI,P8E0-A-1,63,CCM,SOD323,-65.15degC..150.05degC
305-0046-000,SO08_048X038,XSTR SWITCHING N-CH 30V 10A SOP8,0.068,QM3202S,UBIQ,P8E8,84,CCM,SO8_DUAL_1G2D1S,[ ]..[ ]
195-0854-000,0603,RES SCD 0603 2.61K 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
316-0512-000,QFN032Q_P050_0050_T021X021,VREG CONTROLLER/DRIVER AUTOMOTIVE QFN32 Buck 2Ph/1Ph 2.2MHz 0.5V 1.5875V 2.0% MAX16989BATJF/V+,0.62,MAX16989BATJF/V+,Maxim,P8E10,70,AUTOMOTIVE,QFN32,-40.15degC..125.05degC
085-0189-000,XTAL_SMD_4_032X025,XTAL SMD 26.000MHz 20_20_2PPM 10.0pF FUNDAMENTAL 2.60X3.30X0.65mm MAX,0.115,E3SB26.0000F10G22N,Hosonic,P8E10,57,CCM,SMD_32X25,-30degC..85degC
